"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","5/5","496/18903",1.2195565468262e-08,2.42691752818414e-06,8.08758552105797e-07,"EPOR/LEPR/MPL/SH2B3/THPO",5
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","3/5","90/18903",1.0365453520439e-06,6.67203887036482e-05,2.22342474918267e-05,"MPL/SH2B3/THPO",3
"GO:1990868","GO:1990868","response to chemokine","3/5","98/18903",1.34111334077685e-06,6.67203887036482e-05,2.22342474918267e-05,"MPL/SH2B3/THPO",3
"GO:1990869","GO:1990869","cellular response to chemokine","3/5","98/18903",1.34111334077685e-06,6.67203887036482e-05,2.22342474918267e-05,"MPL/SH2B3/THPO",3
"GO:0001780","GO:0001780","neutrophil homeostasis","2/5","20/18903",1.06149435719432e-05,0.000422474754163338,0.000140787672638404,"MPL/SH2B3",2
"GO:0035855","GO:0035855","megakaryocyte development","2/5","22/18903",1.29028042803616e-05,0.000427943008631994,0.000142609942046102,"SH2B3/THPO",2
"GO:0060348","GO:0060348","bone development","3/5","233/18903",1.81539402335077e-05,0.000516090586638291,0.000171984696949021,"LEPR/SH2B3/THPO",3
"GO:0098751","GO:0098751","bone cell development","2/5","40/18903",4.34849405797834e-05,0.00108168789692211,0.000360467270595573,"SH2B3/THPO",2
"GO:0030099","GO:0030099","myeloid cell differentiation","3/5","407/18903",9.59448686063627e-05,0.00212144765029624,0.000706962189731094,"MPL/SH2B3/THPO",3
"GO:0030219","GO:0030219","megakaryocyte differentiation","2/5","66/18903",0.000119254587190957,0.00237316628510004,0.00079084620979266,"SH2B3/THPO",2
"GO:0070527","GO:0070527","platelet aggregation","2/5","71/18903",0.000138084204728885,0.00249806879464075,0.000832469368221989,"MPL/SH2B3",2
"GO:0061515","GO:0061515","myeloid cell development","2/5","83/18903",0.000188854347239984,0.00313183459172973,0.00104366876106307,"SH2B3/THPO",2
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","2/5","95/18903",0.000247476378650548,0.00378829225780455,0.00126243010971535,"MPL/SH2B3",2
"GO:0001776","GO:0001776","leukocyte homeostasis","2/5","100/18903",0.000274212421887129,0.00385933884778275,0.00128610604290036,"MPL/SH2B3",2
"GO:0045639","GO:0045639","positive regulation of myeloid cell differentiation","2/5","103/18903",0.000290904938275082,0.00385933884778275,0.00128610604290036,"MPL/THPO",2
"GO:0030168","GO:0030168","platelet activation","2/5","133/18903",0.000484569794650097,0.00602683682096058,0.00200841428045764,"MPL/SH2B3",2
"GO:0002262","GO:0002262","myeloid cell homeostasis","2/5","169/18903",0.000780666941311288,0.00913839537182037,0.00304532614876849,"MPL/SH2B3",2
"GO:0097696","GO:0097696","receptor signaling pathway via STAT","2/5","183/18903",0.000914420434441661,0.010109425914105,0.00336891739004822,"SH2B3/THPO",2
"GO:0051896","GO:0051896","regulation of protein kinase B signaling","2/5","189/18903",0.000974913343928532,0.0102109344969357,0.00340274463531842,"SH2B3/THPO",2
"GO:0045637","GO:0045637","regulation of myeloid cell differentiation","2/5","214/18903",0.00124733971430966,0.0120333679434256,0.00401006178490246,"MPL/THPO",2
"GO:0043491","GO:0043491","protein kinase B signaling","2/5","218/18903",0.00129396560342378,0.0120333679434256,0.00401006178490246,"SH2B3/THPO",2
"GO:0007596","GO:0007596","blood coagulation","2/5","225/18903",0.00137756935610972,0.0120333679434256,0.00401006178490246,"MPL/SH2B3",2
"GO:0050817","GO:0050817","coagulation","2/5","230/18903",0.00143884860136125,0.0120333679434256,0.00401006178490246,"MPL/SH2B3",2
"GO:0007599","GO:0007599","hemostasis","2/5","231/18903",0.00145126045548851,0.0120333679434256,0.00401006178490246,"MPL/SH2B3",2
"GO:0048872","GO:0048872","homeostasis of number of cells","2/5","296/18903",0.00236870720646662,0.0188549093634743,0.00628330753715357,"MPL/SH2B3",2
"GO:0070099","GO:0070099","regulation of chemokine-mediated signaling pathway","1/5","10/18903",0.00264256499710025,0.0202257859393442,0.00674014553916258,"SH2B3",1
"GO:0033210","GO:0033210","leptin-mediated signaling pathway","1/5","11/18903",0.00290651392924501,0.0206570097114199,0.00688384877979082,"LEPR",1
"GO:0045654","GO:0045654","positive regulation of megakaryocyte differentiation","1/5","11/18903",0.00290651392924501,0.0206570097114199,0.00688384877979082,"THPO",1
"GO:0090331","GO:0090331","negative regulation of platelet aggregation","1/5","12/18903",0.00317040697552651,0.0217555513148198,0.00724993246672123,"SH2B3",1
