"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","6/8","322/18903",6.34699248928374e-10,5.23791571291062e-07,1.34588279586799e-07,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG/PTPN11",6
"GO:0050863","GO:0050863","regulation of T cell activation","6/8","376/18903",1.61189217503056e-09,5.23791571291062e-07,1.34588279586799e-07,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG/PTPN11",6
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","6/8","377/18903",1.63780943900635e-09,5.23791571291062e-07,1.34588279586799e-07,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG/PTPN11",6
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","6/8","400/18903",2.33698782456845e-09,5.23791571291062e-07,1.34588279586799e-07,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG/PTPN11",6
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","6/8","414/18903",2.8727161405746e-09,5.23791571291062e-07,1.34588279586799e-07,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG/PTPN11",6
"GO:0007259","GO:0007259","receptor signaling pathway via JAK-STAT","5/8","172/18903",3.22333274640654e-09,5.23791571291062e-07,1.34588279586799e-07,"IL10/IL23R/IL10RA/IFNG/STAT4",5
"GO:0097696","GO:0097696","receptor signaling pathway via STAT","5/8","183/18903",4.403780816831e-09,5.77170738310666e-07,1.4830406015432e-07,"IL10/IL23R/IL10RA/IFNG/STAT4",5
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","6/8","450/18903",4.73575990408752e-09,5.77170738310666e-07,1.4830406015432e-07,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG/PTPN11",6
"GO:0050867","GO:0050867","positive regulation of cell activation","6/8","467/18903",5.91375868585711e-09,6.40657190967853e-07,1.6461690844842e-07,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG/PTPN11",6
"GO:0045785","GO:0045785","positive regulation of cell adhesion","6/8","484/18903",7.325617184283e-09,6.99012547165901e-07,1.79611321161117e-07,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG/PTPN11",6
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","6/8","490/18903",7.88629540392298e-09,6.99012547165901e-07,1.79611321161117e-07,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG/PTPN11",6
"GO:0046635","GO:0046635","positive regulation of alpha-beta T cell activation","4/8","73/18903",1.41593705153554e-08,1.15044885437263e-06,2.95607910759175e-07,"HLA-DRB1/IL23R/PTPN22/IFNG",4
"GO:0050870","GO:0050870","positive regulation of T cell activation","5/8","251/18903",2.15039950672131e-08,1.61279963004098e-06,4.14408973764916e-07,"HLA-DRB1/IL23R/PTPN22/IFNG/PTPN11",5
"GO:0002699","GO:0002699","positive regulation of immune effector process","5/8","261/18903",2.6148289476397e-08,1.82104158853479e-06,4.67916759051316e-07,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG",5
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","5/8","275/18903",3.39584358321499e-08,2.20729832908974e-06,5.67165454600118e-07,"HLA-DRB1/IL23R/PTPN22/IFNG/PTPN11",5
"GO:0046425","GO:0046425","regulation of receptor signaling pathway via JAK-STAT","4/8","104/18903",5.95028016428785e-08,3.62595197511291e-06,9.31688604671387e-07,"IL10/IL23R/IL10RA/IFNG",4
"GO:0046634","GO:0046634","regulation of alpha-beta T cell activation","4/8","115/18903",8.92960711236039e-08,4.83687051919521e-06,1.24283420628174e-06,"HLA-DRB1/IL23R/PTPN22/IFNG",4
"GO:1904892","GO:1904892","regulation of receptor signaling pathway via STAT","4/8","115/18903",8.92960711236039e-08,4.83687051919521e-06,1.24283420628174e-06,"IL10/IL23R/IL10RA/IFNG",4
"GO:0032609","GO:0032609","interferon-gamma production","4/8","119/18903",1.024968732962e-07,4.99672257318976e-06,1.28390820234188e-06,"HLA-DRB1/IL10/IL23R/PTPN22",4
"GO:0032649","GO:0032649","regulation of interferon-gamma production","4/8","119/18903",1.024968732962e-07,4.99672257318976e-06,1.28390820234188e-06,"HLA-DRB1/IL10/IL23R/PTPN22",4
"GO:0045621","GO:0045621","positive regulation of lymphocyte differentiation","4/8","130/18903",1.46343011073703e-07,6.70304101039143e-06,1.72234683991704e-06,"HLA-DRB1/IL10/IL23R/IFNG",4
"GO:0001818","GO:0001818","negative regulation of cytokine production","5/8","371/18903",1.51248104849858e-07,6.70304101039143e-06,1.72234683991704e-06,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG",5
"GO:0002697","GO:0002697","regulation of immune effector process","5/8","379/18903",1.68189437531378e-07,7.12976963448231e-06,1.8319947886713e-06,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG",5
"GO:0030098","GO:0030098","lymphocyte differentiation","5/8","419/18903",2.76973745083225e-07,1.1252058394006e-05,2.89121716358805e-06,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG",5
"GO:0043372","GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","3/8","35/18903",3.23568853520672e-07,1.26191852873062e-05,3.24250051107031e-06,"HLA-DRB1/IL23R/IFNG",3
"GO:0046631","GO:0046631","alpha-beta T cell activation","4/8","174/18903",4.71727900008218e-07,1.6435650943971e-05,4.22314161907163e-06,"HLA-DRB1/IL23R/PTPN22/IFNG",4
"GO:0032635","GO:0032635","interleukin-6 production","4/8","176/18903",4.93821171990151e-07,1.6435650943971e-05,4.22314161907163e-06,"IL10/PTPN22/IFNG/PTPN11",4
"GO:0032675","GO:0032675","regulation of interleukin-6 production","4/8","176/18903",4.93821171990151e-07,1.6435650943971e-05,4.22314161907163e-06,"IL10/PTPN22/IFNG/PTPN11",4
"GO:1903131","GO:1903131","mononuclear cell differentiation","5/8","473/18903",5.05481332231243e-07,1.6435650943971e-05,4.22314161907163e-06,"HLA-DRB1/IL10/IL23R/PTPN22/IFNG",5
"GO:0042129","GO:0042129","regulation of T cell proliferation","4/8","182/18903",5.64748416231866e-07,1.6435650943971e-05,4.22314161907163e-06,"HLA-DRB1/IL10/IL23R/PTPN22",4
