"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007596","GO:0007596","blood coagulation","4/5","225/18903",9.68258580046611e-08,5.6681012419851e-06,1.47272450657841e-06,"F2/F9/PROS1/SERPINC1",4
"GO:0050817","GO:0050817","coagulation","4/5","230/18903",1.05763108252106e-07,5.6681012419851e-06,1.47272450657841e-06,"F2/F9/PROS1/SERPINC1",4
"GO:0007599","GO:0007599","hemostasis","4/5","231/18903",1.0762217548073e-07,5.6681012419851e-06,1.47272450657841e-06,"F2/F9/PROS1/SERPINC1",4
"GO:0030193","GO:0030193","regulation of blood coagulation","3/5","70/18903",4.83749474097658e-07,1.34637663163817e-05,3.49824707754089e-06,"F2/PROS1/SERPINC1",3
"GO:1900046","GO:1900046","regulation of hemostasis","3/5","72/18903",5.2696799137555e-07,1.34637663163817e-05,3.49824707754089e-06,"F2/PROS1/SERPINC1",3
"GO:0045861","GO:0045861","negative regulation of proteolysis","4/5","352/18903",5.82482687721873e-07,1.34637663163817e-05,3.49824707754089e-06,"C4A/F2/PROS1/SERPINC1",4
"GO:0050818","GO:0050818","regulation of coagulation","3/5","75/18903",5.96495976042229e-07,1.34637663163817e-05,3.49824707754089e-06,"F2/PROS1/SERPINC1",3
"GO:0050878","GO:0050878","regulation of body fluid levels","4/5","390/18903",8.7778278839151e-07,1.73362100707323e-05,4.50441167727222e-06,"F2/F9/PROS1/SERPINC1",4
"GO:0042060","GO:0042060","wound healing","4/5","442/18903",1.44755572464898e-06,2.54126449438376e-05,6.60288576155673e-06,"F2/F9/PROS1/SERPINC1",4
"GO:0061041","GO:0061041","regulation of wound healing","3/5","137/18903",3.68501862455334e-06,5.82232942679427e-05,1.51279711955348e-05,"F2/PROS1/SERPINC1",3
"GO:1903034","GO:1903034","regulation of response to wounding","3/5","172/18903",7.30477289425002e-06,0.000104923101571955,2.72618318541388e-05,"F2/PROS1/SERPINC1",3
"GO:0042730","GO:0042730","fibrinolysis","2/5","27/18903",1.95951831472038e-05,0.000258003244771517,6.70361528720131e-05,"F2/PROS1",2
"GO:0010951","GO:0010951","negative regulation of endopeptidase activity","3/5","252/18903",2.29545364596847e-05,0.00027898590466386,7.24880098726884e-05,"C4A/PROS1/SERPINC1",3
"GO:0010466","GO:0010466","negative regulation of peptidase activity","3/5","263/18903",2.60836908519423e-05,0.000294373082471921,7.64860107688534e-05,"C4A/PROS1/SERPINC1",3
"GO:0030195","GO:0030195","negative regulation of blood coagulation","2/5","50/18903",6.82213452841706e-05,0.000687810949971092,0.000178711705855247,"F2/PROS1",2
"GO:1900047","GO:1900047","negative regulation of hemostasis","2/5","51/18903",7.09983669917854e-05,0.000687810949971092,0.000178711705855247,"F2/PROS1",2
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","3/5","373/18903",7.4004975629801e-05,0.000687810949971092,0.000178711705855247,"C4A/PROS1/SERPINC1",3
"GO:0050819","GO:0050819","negative regulation of coagulation","2/5","54/18903",7.96598996633683e-05,0.000699236897045122,0.000181680472916454,"F2/PROS1",2
"GO:0052548","GO:0052548","regulation of endopeptidase activity","3/5","428/18903",0.000111427508290283,0.000926607700519194,0.000240757497136899,"C4A/PROS1/SERPINC1",3
"GO:0052547","GO:0052547","regulation of peptidase activity","3/5","459/18903",0.000137157423050398,0.00108354364209814,0.00028153365784029,"C4A/PROS1/SERPINC1",3
"GO:0061045","GO:0061045","negative regulation of wound healing","2/5","78/18903",0.000166744158894783,0.00125455129073218,0.000325966024907095,"F2/PROS1",2
"GO:1903035","GO:1903035","negative regulation of response to wounding","2/5","94/18903",0.000242292050092585,0.00174009745066493,0.000452123921225398,"F2/PROS1",2
"GO:2000425","GO:2000425","regulation of apoptotic cell clearance","1/5","10/18903",0.00264256499710025,0.0178901536476139,0.00464834105434338,"C4A",1
"GO:0006959","GO:0006959","humoral immune response","2/5","320/18903",0.00276201735941819,0.0178901536476139,0.00464834105434338,"C4A/F2",2
"GO:0070944","GO:0070944","neutrophil-mediated killing of bacterium","1/5","11/18903",0.00290651392924501,0.0178901536476139,0.00464834105434338,"F2",1
"GO:0051604","GO:0051604","protein maturation","2/5","336/18903",0.00304038205642913,0.0178901536476139,0.00464834105434338,"F9/SERPINC1",2
"GO:0051235","GO:0051235","maintenance of location","2/5","342/18903",0.00314808431718322,0.0178901536476139,0.00464834105434338,"F2/F9",2
"GO:0070943","GO:0070943","neutrophil-mediated killing of symbiont cell","1/5","12/18903",0.00317040697552651,0.0178901536476139,0.00464834105434338,"F2",1
