"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071887","GO:0071887","leukocyte apoptotic process","5/5","117/18903",8.33491320468881e-12,9.73517862307654e-09,1.70207701232593e-09,"AKT1/BCL2L1/FADD/TP53/PTEN",5
"GO:0070227","GO:0070227","lymphocyte apoptotic process","4/5","80/18903",1.48213549929865e-09,8.62299143154231e-07,1.50762467350325e-07,"AKT1/FADD/TP53/PTEN",4
"GO:2000106","GO:2000106","regulation of leukocyte apoptotic process","4/5","93/18903",2.73464120804064e-09,8.62299143154231e-07,1.50762467350325e-07,"BCL2L1/FADD/TP53/PTEN",4
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","5/5","374/18903",2.9530792573775e-09,8.62299143154231e-07,1.50762467350325e-07,"AKT1/BCL2L1/FADD/TP53/PTEN",5
"GO:2001236","GO:2001236","regulation of extrinsic apoptotic signaling pathway","4/5","155/18903",2.16066530311621e-08,5.04731414807946e-06,8.82461197483252e-07,"AKT1/BCL2L1/FADD/PTEN",4
"GO:0097191","GO:0097191","extrinsic apoptotic signaling pathway","4/5","224/18903",9.51085732356003e-08,1.85144689231969e-05,3.23702863293096e-06,"AKT1/BCL2L1/FADD/PTEN",4
"GO:0090199","GO:0090199","regulation of release of cytochrome c from mitochondria","3/5","47/18903",1.43557892848878e-07,2.39536598353556e-05,4.18800469363643e-06,"AKT1/BCL2L1/TP53",3
"GO:0010823","GO:0010823","negative regulation of mitochondrion organization","3/5","52/18903",1.95582393109567e-07,2.85550293939967e-05,4.99249792937578e-06,"AKT1/BCL2L1/TP53",3
"GO:0001836","GO:0001836","release of cytochrome c from mitochondria","3/5","56/18903",2.45240714613499e-07,3.02330508568761e-05,5.28587947569752e-06,"AKT1/BCL2L1/TP53",3
"GO:0070231","GO:0070231","T cell apoptotic process","3/5","57/18903",2.58844613500652e-07,3.02330508568761e-05,5.28587947569752e-06,"AKT1/FADD/TP53",3
"GO:0070228","GO:0070228","regulation of lymphocyte apoptotic process","3/5","62/18903",3.34436469779369e-07,3.48781389476248e-05,6.09801636250831e-06,"FADD/TP53/PTEN",3
"GO:0032943","GO:0032943","mononuclear cell proliferation","4/5","312/18903",3.5935246905409e-07,3.48781389476248e-05,6.09801636250831e-06,"BCL2L1/FADD/TP53/PTEN",4
"GO:0038034","GO:0038034","signal transduction in absence of ligand","3/5","68/18903",4.42956643205472e-07,3.48781389476248e-05,6.09801636250831e-06,"AKT1/BCL2L1/FADD",3
"GO:0097192","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","3/5","68/18903",4.42956643205472e-07,3.48781389476248e-05,6.09801636250831e-06,"AKT1/BCL2L1/FADD",3
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","4/5","335/18903",4.77782725309929e-07,3.48781389476248e-05,6.09801636250831e-06,"BCL2L1/FADD/TP53/PTEN",4
"GO:0104004","GO:0104004","cellular response to environmental stimulus","4/5","335/18903",4.77782725309929e-07,3.48781389476248e-05,6.09801636250831e-06,"BCL2L1/FADD/TP53/PTEN",4
