"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035264","GO:0035264","multicellular organism growth","7/12","147/18903",1.14186612578466e-12,1.77217622721779e-09,5.46893776033706e-10,"ATM/EP300/PTPN11/STAT3/STAT5A/STAT5B/TP53",7
"GO:0060397","GO:0060397","growth hormone receptor signaling pathway via JAK-STAT","4/12","10/18903",1.95059909125895e-11,1.51366489481695e-08,4.67117150801486e-09,"JAK2/STAT3/STAT5A/STAT5B",4
"GO:0060396","GO:0060396","growth hormone receptor signaling pathway","4/12","25/18903",1.16904696242459e-09,4.53590221420742e-07,1.39977991553471e-07,"JAK2/STAT3/STAT5A/STAT5B",4
"GO:0071378","GO:0071378","cellular response to growth hormone stimulus","4/12","25/18903",1.16904696242459e-09,4.53590221420742e-07,1.39977991553471e-07,"JAK2/STAT3/STAT5A/STAT5B",4
"GO:0060416","GO:0060416","response to growth hormone","4/12","37/18903",6.07875766218404e-09,1.88684637834193e-06,5.82280997114471e-07,"JAK2/STAT3/STAT5A/STAT5B",4
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","6/12","335/18903",2.50262354237368e-08,5.54867391109136e-06,1.71232137109778e-06,"ATM/CREBBP/EP300/NPM1/PTEN/TP53",6
"GO:0104004","GO:0104004","cellular response to environmental stimulus","6/12","335/18903",2.50262354237368e-08,5.54867391109136e-06,1.71232137109778e-06,"ATM/CREBBP/EP300/NPM1/PTEN/TP53",6
"GO:1901653","GO:1901653","cellular response to peptide","6/12","373/18903",4.74051408578919e-08,9.19659732643104e-06,2.83807093293958e-06,"JAK2/PTPN11/STAT3/STAT5A/STAT5B/TP53",6
"GO:0071478","GO:0071478","cellular response to radiation","5/12","189/18903",7.09078735855548e-08,1.22276688671979e-05,3.77345993934824e-06,"ATM/CREBBP/EP300/NPM1/TP53",5
"GO:0030099","GO:0030099","myeloid cell differentiation","6/12","407/18903",7.95296743952171e-08,1.23430054661377e-05,3.80905282629724e-06,"EP300/JAK2/PTPN11/STAT3/STAT5B/TET2",6
"GO:1900034","GO:1900034","regulation of cellular response to heat","3/12","17/18903",1.32247492793895e-07,1.8658918983284e-05,5.75814442308345e-06,"ATM/CREBBP/EP300",3
"GO:0034644","GO:0034644","cellular response to UV","4/12","89/18903",2.20796230231232e-07,2.85563124432394e-05,8.81248111887812e-06,"CREBBP/EP300/NPM1/TP53",4
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","6/12","496/18903",2.55879116728197e-07,3.05480299355509e-05,9.4271253531441e-06,"JAK2/PTPN11/STAT3/STAT5A/STAT5B/TP53",6
"GO:0051091","GO:0051091","positive regulation of DNA-binding transcription factor activity","5/12","266/18903",3.88265663752606e-07,4.30420221531461e-05,1.3282772707326e-05,"EP300/JAK2/NPM1/PTEN/STAT3",5
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","4/12","105/18903",4.29933469651399e-07,4.44837829932648e-05,1.37277002590447e-05,"ATM/EP300/NPM1/TP53",4
"GO:0090398","GO:0090398","cellular senescence","4/12","108/18903",4.81505534280943e-07,4.67060368252514e-05,1.44134880327519e-05,"ATM/NPM1/PTEN/TP53",4
"GO:0001666","GO:0001666","response to hypoxia","5/12","296/18903",6.58853747866088e-07,5.74716067079932e-05,1.77357440668319e-05,"ATM/CREBBP/EP300/PTEN/TP53",5
"GO:0048511","GO:0048511","rhythmic process","5/12","302/18903",7.27522616002427e-07,5.74716067079932e-05,1.77357440668319e-05,"CREBBP/EP300/PTEN/STAT5B/TP53",5
"GO:0046651","GO:0046651","lymphocyte proliferation","5/12","305/18903",7.63918814786598e-07,5.74716067079932e-05,1.77357440668319e-05,"ATM/JAK2/PTEN/STAT5B/TP53",5
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","5/12","306/18903",7.76366132872636e-07,5.74716067079932e-05,1.77357440668319e-05,"JAK2/PTPN11/STAT3/STAT5A/STAT5B",5
"GO:0071482","GO:0071482","cellular response to light stimulus","4/12","123/18903",8.11552039868614e-07,5.74716067079932e-05,1.77357440668319e-05,"CREBBP/EP300/NPM1/TP53",4
"GO:0036293","GO:0036293","response to decreased oxygen levels","5/12","309/18903",8.14674837355573e-07,5.74716067079932e-05,1.77357440668319e-05,"ATM/CREBBP/EP300/PTEN/TP53",5
"GO:0032943","GO:0032943","mononuclear cell proliferation","5/12","312/18903",8.54465628671974e-07,5.76578545956045e-05,1.77932201851601e-05,"ATM/JAK2/PTEN/STAT5B/TP53",5
