"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","7/10","496/18903",9.2049308144562e-10,1.23701122039178e-06,2.95811962477696e-07,"AKT1/FAS/IFNG/STAT3/TP53/STAT5B/STAT5A",7
"GO:0071887","GO:0071887","leukocyte apoptotic process","5/10","117/18903",2.04905058629436e-09,1.23701122039178e-06,2.95811962477696e-07,"AKT1/BCL2L1/FAS/TP53/IL10",5
"GO:0060416","GO:0060416","response to growth hormone","4/10","37/18903",2.58608617503507e-09,1.23701122039178e-06,2.95811962477696e-07,"AKT1/STAT3/STAT5B/STAT5A",4
"GO:0070997","GO:0070997","neuron death","6/10","368/18903",1.02784488898952e-08,2.92991650967924e-06,7.00643889349299e-07,"AKT1/BCL2L1/FAS/IFNG/TP53/IL10",6
"GO:1901653","GO:1901653","cellular response to peptide","6/10","373/18903",1.11412296674362e-08,2.92991650967924e-06,7.00643889349299e-07,"AKT1/MDM2/STAT3/TP53/STAT5B/STAT5A",6
"GO:0060397","GO:0060397","growth hormone receptor signaling pathway via JAK-STAT","3/10","10/18903",1.27686748543112e-08,2.92991650967924e-06,7.00643889349299e-07,"STAT3/STAT5B/STAT5A",3
"GO:0007259","GO:0007259","receptor signaling pathway via JAK-STAT","5/10","172/18903",1.42922756569719e-08,2.92991650967924e-06,7.00643889349299e-07,"IFNG/STAT3/STAT5B/STAT5A/IL10",5
"GO:0097696","GO:0097696","receptor signaling pathway via STAT","5/10","183/18903",1.95073367838602e-08,3.49912853560492e-06,8.36762077834002e-07,"IFNG/STAT3/STAT5B/STAT5A/IL10",5
"GO:0070227","GO:0070227","lymphocyte apoptotic process","4/10","80/18903",6.12550637141359e-08,9.76677960330945e-06,2.33557318956822e-06,"AKT1/FAS/TP53/IL10",4
"GO:0010507","GO:0010507","negative regulation of autophagy","4/10","87/18903",8.60560168315801e-08,1.23490384153317e-05,2.95308015653633e-06,"AKT1/STAT3/TP53/IL10",4
"GO:0060396","GO:0060396","growth hormone receptor signaling pathway","3/10","25/18903",2.43714856197711e-07,2.72012882279865e-05,6.50476432226195e-06,"STAT3/STAT5B/STAT5A",3
"GO:0071378","GO:0071378","cellular response to growth hormone stimulus","3/10","25/18903",2.43714856197711e-07,2.72012882279865e-05,6.50476432226195e-06,"STAT3/STAT5B/STAT5A",3
"GO:0034504","GO:0034504","protein localization to nucleus","5/10","306/18903",2.53703215397836e-07,2.72012882279865e-05,6.50476432226195e-06,"AKT1/IFNG/MDM2/STAT3/TP53",5
"GO:0001938","GO:0001938","positive regulation of endothelial cell proliferation","4/10","115/18903",2.65378421736454e-07,2.72012882279865e-05,6.50476432226195e-06,"AKT1/STAT3/STAT5A/IL10",4
