"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090312","GO:0090312","positive regulation of protein deacetylation","3/5","29/18903",3.23966350963283e-08,2.18094265935601e-05,3.63957054834764e-06,"NDN/SIRT1/TP53",3
"GO:1902253","GO:1902253","regulation of intrinsic apoptotic signaling pathway by p53 class mediator","3/5","33/18903",4.8357930362661e-08,2.18094265935601e-05,3.63957054834764e-06,"MDM2/SIRT1/TP53",3
"GO:0043516","GO:0043516","regulation of DNA damage response, signal transduction by p53 class mediator","3/5","38/18903",7.47407350250157e-08,2.24720476641881e-05,3.7501491609043e-06,"MDM2/SIRT1/TP53",3
"GO:0090311","GO:0090311","regulation of protein deacetylation","3/5","61/18903",3.18279374588367e-07,7.17719989696766e-05,1.19773554121412e-05,"NDN/SIRT1/TP53",3
"GO:0030330","GO:0030330","DNA damage response, signal transduction by p53 class mediator","3/5","74/18903",5.72681707736262e-07,8.49381769759203e-05,1.41745353104873e-05,"MDM2/SIRT1/TP53",3
"GO:0071479","GO:0071479","cellular response to ionizing radiation","3/5","75/18903",5.96495976042229e-07,8.49381769759203e-05,1.41745353104873e-05,"MDM2/SIRT1/TP53",3
"GO:1901653","GO:1901653","cellular response to peptide","4/5","373/18903",7.3447187016577e-07,8.49381769759203e-05,1.41745353104873e-05,"MDM2/SIRT1/STAT3/TP53",4
"GO:0072332","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","3/5","81/18903",7.53331946571355e-07,8.49381769759203e-05,1.41745353104873e-05,"MDM2/SIRT1/TP53",3
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","3/5","105/18903",1.65201558367569e-06,0.000162244659093615,2.70754886805775e-05,"MDM2/SIRT1/TP53",3
"GO:0062014","GO:0062014","negative regulation of small molecule metabolic process","3/5","108/18903",1.79872127598242e-06,0.000162244659093615,2.70754886805775e-05,"SIRT1/STAT3/TP53",3
"GO:0006476","GO:0006476","protein deacetylation","3/5","122/18903",2.59831829506913e-06,0.000213062100195669,3.55559345641039e-05,"NDN/SIRT1/TP53",3
"GO:0033210","GO:0033210","leptin-mediated signaling pathway","2/5","11/18903",3.07567565046622e-06,0.000221917264794597,3.70336898887004e-05,"SIRT1/STAT3",2
"GO:0035601","GO:0035601","protein deacylation","3/5","133/18903",3.37040322956513e-06,0.000221917264794597,3.70336898887004e-05,"NDN/SIRT1/TP53",3
"GO:0098732","GO:0098732","macromolecule deacylation","3/5","137/18903",3.68501862455334e-06,0.000221917264794597,3.70336898887004e-05,"NDN/SIRT1/TP53",3
