"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006913","GO:0006913","nucleocytoplasmic transport","8/13","329/18903",9.231367363887e-12,7.73127016725536e-09,2.21066955293083e-09,"AKT1/CALR/HSP90AA1/IFNG/STAT3/TP53/PTPN11/JAK2",8
"GO:0051169","GO:0051169","nuclear transport","8/13","329/18903",9.231367363887e-12,7.73127016725536e-09,2.21066955293083e-09,"AKT1/CALR/HSP90AA1/IFNG/STAT3/TP53/PTPN11/JAK2",8
"GO:0034975","GO:0034975","protein folding in endoplasmic reticulum","4/13","11/18903",4.4247388680658e-11,2.47047920133674e-08,7.06405678936821e-09,"CALR/HSP90B1/PDIA3/P4HB",4
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","8/13","496/18903",2.43658375871961e-10,1.02031944896383e-07,2.91748844794058e-08,"AKT1/P4HB/IFNG/STAT3/TP53/PTPN11/STAT5A/JAK2",8
"GO:0045428","GO:0045428","regulation of nitric oxide biosynthetic process","5/13","62/18903",4.06035941625318e-10,1.19913000047728e-07,3.42877706342286e-08,"AKT1/HSP90AA1/IFNG/IL10/JAK2",5
"GO:0034504","GO:0034504","protein localization to nucleus","7/13","306/18903",4.29539104648578e-10,1.19913000047728e-07,3.42877706342286e-08,"AKT1/CALR/HSP90AA1/IFNG/STAT3/TP53/JAK2",7
"GO:0080164","GO:0080164","regulation of nitric oxide metabolic process","5/13","65/18903",5.17733731004534e-10,1.23886285633228e-07,3.54238868582049e-08,"AKT1/HSP90AA1/IFNG/IL10/JAK2",5
"GO:0006606","GO:0006606","protein import into nucleus","6/13","165/18903",6.58652489731874e-10,1.37905365037611e-07,3.9432484582632e-08,"AKT1/HSP90AA1/IFNG/STAT3/TP53/JAK2",6
"GO:0051170","GO:0051170","import into nucleus","6/13","169/18903",7.61155192723268e-10,1.41659438645719e-07,4.05059196127587e-08,"AKT1/HSP90AA1/IFNG/STAT3/TP53/JAK2",6
"GO:0006809","GO:0006809","nitric oxide biosynthetic process","5/13","76/18903",1.15351580701344e-09,1.93213897674751e-07,5.52473360201173e-08,"AKT1/HSP90AA1/IFNG/IL10/JAK2",5
"GO:0046209","GO:0046209","nitric oxide metabolic process","5/13","82/18903",1.70000571977147e-09,2.52414202368492e-07,7.21749958068585e-08,"AKT1/HSP90AA1/IFNG/IL10/JAK2",5
"GO:2001057","GO:2001057","reactive nitrogen species metabolic process","5/13","83/18903",1.80834055428173e-09,2.52414202368492e-07,7.21749958068585e-08,"AKT1/HSP90AA1/IFNG/IL10/JAK2",5
"GO:0060416","GO:0060416","response to growth hormone","4/13","37/18903",8.76816376382389e-09,1.12974417726192e-06,3.23037612351406e-07,"AKT1/STAT3/STAT5A/JAK2",4
"GO:0045785","GO:0045785","positive regulation of cell adhesion","7/13","484/18903",1.03781202618989e-08,1.24166795990576e-06,3.55040956328121e-07,"AKT1/CALR/P4HB/IFNG/PTPN11/IL10/JAK2",7
"GO:0045429","GO:0045429","positive regulation of nitric oxide biosynthetic process","4/13","42/18903",1.4831564545407e-08,1.65619137423712e-06,4.73569253905979e-07,"AKT1/HSP90AA1/IFNG/JAK2",4
"GO:1904407","GO:1904407","positive regulation of nitric oxide metabolic process","4/13","44/18903",1.7974307568762e-08,1.88168532360477e-06,5.38046706828073e-07,"AKT1/HSP90AA1/IFNG/JAK2",4
"GO:0060397","GO:0060397","growth hormone receptor signaling pathway via JAK-STAT","3/13","10/18903",3.04066506141148e-08,2.99594939874366e-06,8.56657958478157e-07,"STAT3/STAT5A/JAK2",3
"GO:0007259","GO:0007259","receptor signaling pathway via JAK-STAT","5/13","172/18903",7.13935619362328e-08,6.64356756906611e-06,1.89965325619801e-06,"IFNG/STAT3/IL10/STAT5A/JAK2",5
"GO:1901653","GO:1901653","cellular response to peptide","6/13","373/18903",8.65753017521773e-08,7.28145080064839e-06,2.08204877567636e-06,"AKT1/STAT3/TP53/PTPN11/STAT5A/JAK2",6
"GO:0045348","GO:0045348","positive regulation of MHC class II biosynthetic process","3/13","14/18903",9.20871719002346e-08,7.28145080064839e-06,2.08204877567636e-06,"IFNG/IL10/JAK2",3
"GO:0097696","GO:0097696","receptor signaling pathway via STAT","5/13","183/18903",9.73016825951513e-08,7.28145080064839e-06,2.08204877567636e-06,"IFNG/STAT3/IL10/STAT5A/JAK2",5
