"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","16/36","496/18903",1.79212608543466e-16,2.8445599835836e-13,1.09099231460142e-13,"AKT1/IFNG/IFNGR1/IFNGR2/IL10RA/IL10RB/IL23R/JAK2/PTPN11/SIRT1/SOCS1/STAT3/STAT4/STAT5A/STAT5B/TP53",16
"GO:0007259","GO:0007259","receptor signaling pathway via JAK-STAT","12/36","172/18903",2.26297532504662e-16,2.8445599835836e-13,1.09099231460142e-13,"IFNG/IL10/IL10RA/IL10RB/IL23R/JAK2/SOCS1/SOCS3/STAT3/STAT4/STAT5A/STAT5B",12
"GO:0097696","GO:0097696","receptor signaling pathway via STAT","12/36","183/18903",4.81480900384044e-16,4.03480994521829e-13,1.547496507901e-13,"IFNG/IL10/IL10RA/IL10RB/IL23R/JAK2/SOCS1/SOCS3/STAT3/STAT4/STAT5A/STAT5B",12
"GO:1901653","GO:1901653","cellular response to peptide","14/36","373/18903",2.72735703805859e-15,1.71414389841982e-12,6.57436591279386e-13,"AKT1/GSK3B/IRS1/JAK2/MDM2/PTPN11/SIRT1/SOCS1/SOCS3/SP1/STAT3/STAT5A/STAT5B/TP53",14
"GO:0043434","GO:0043434","response to peptide hormone","14/36","421/18903",1.44898336204162e-14,7.28548834434527e-12,2.79425002027395e-12,"AKT1/GSK3B/IL10/IRS1/JAK2/PTPN11/SIRT1/SOCS1/SOCS3/SP1/STAT3/STAT4/STAT5A/STAT5B",14
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","12/36","306/18903",2.31034260232753e-13,9.68033550375236e-11,3.7127610942667e-11,"AKT1/GSK3B/IRS1/JAK2/PTPN11/SIRT1/SOCS1/SOCS3/SP1/STAT3/STAT5A/STAT5B",12
"GO:0071478","GO:0071478","cellular response to radiation","10/36","189/18903",1.59466709747188e-12,5.72713297577759e-10,2.19656400193119e-10,"ATM/BARD1/BCL2L1/CREBBP/EP300/MDM2/NPM1/SIRT1/TP53/WRN",10
"GO:0060333","GO:0060333","interferon-gamma-mediated signaling pathway","6/36","26/18903",6.89235708563226e-12,1.95803176721946e-09,7.509764681041e-10,"IFNG/IFNGR1/IFNGR2/JAK2/SOCS1/TP53",6
"GO:0034504","GO:0034504","protein localization to nucleus","11/36","306/18903",7.0096602645088e-12,1.95803176721946e-09,7.509764681041e-10,"AKT1/BARD1/GSK3B/HSP90AA1/IFNG/JAK2/MDM2/NPM1/STAT3/TP53/WRN",11
"GO:0046425","GO:0046425","regulation of receptor signaling pathway via JAK-STAT","8/36","104/18903",1.70083122829502e-11,3.59837675950489e-09,1.38010849211007e-09,"IFNG/IL10/IL10RA/IL10RB/IL23R/JAK2/SOCS1/SOCS3",8
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","8/36","105/18903",1.83867361185915e-11,3.59837675950489e-09,1.38010849211007e-09,"AKT1/ATM/AURKA/EP300/MDM2/NPM1/SIRT1/TP53",8
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","11/36","335/18903",1.86073579449338e-11,3.59837675950489e-09,1.38010849211007e-09,"ATM/BARD1/BCL2L1/CREBBP/EP300/MDM2/NPM1/PTEN/SIRT1/TP53/WRN",11
"GO:0104004","GO:0104004","cellular response to environmental stimulus","11/36","335/18903",1.86073579449338e-11,3.59837675950489e-09,1.38010849211007e-09,"ATM/BARD1/BCL2L1/CREBBP/EP300/MDM2/NPM1/PTEN/SIRT1/TP53/WRN",11
"GO:0009314","GO:0009314","response to radiation","12/36","452/18903",2.24919085927507e-11,3.87532608476638e-09,1.48632864114475e-09,"AKT1/ATM/BARD1/BCL2L1/CREBBP/EP300/KAT5/MDM2/NPM1/SIRT1/TP53/WRN",12
"GO:0090398","GO:0090398","cellular senescence","8/36","108/18903",2.31224706728304e-11,3.87532608476638e-09,1.48632864114475e-09,"ATM/CDK2/KAT5/NPM1/PTEN/SIRT1/TP53/WRN",8
"GO:0010506","GO:0010506","regulation of autophagy","11/36","344/18903",2.47418528676948e-11,3.88756363183655e-09,1.49102218597424e-09,"AKT1/ATM/EP300/GSK3B/IFNG/IL10/IL10RA/KAT5/SIRT1/STAT3/TP53",11
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","9/36","173/18903",2.78253100535697e-11,4.11487232203966e-09,1.57820334421485e-09,"AKT1/ATM/AURKA/EP300/KAT5/MDM2/NPM1/SIRT1/TP53",9
"GO:0009408","GO:0009408","response to heat","8/36","114/18903",3.58628581222316e-11,5.00884585107168e-09,1.92107473917919e-09,"AKT1/ATM/CREBBP/EP300/GSK3B/HSP90AA1/NOS3/SIRT1",8
"GO:1904892","GO:1904892","regulation of receptor signaling pathway via STAT","8/36","115/18903",3.84932554307676e-11,5.09326548173419e-09,1.95345274097413e-09,"IFNG/IL10/IL10RA/IL10RB/IL23R/JAK2/SOCS1/SOCS3",8
"GO:0042770","GO:0042770","signal transduction in response to DNA damage","9/36","181/18903",4.17601301046918e-11,5.24924835415976e-09,2.01327785136304e-09,"ATM/BARD1/CDK2/KAT5/MDM2/NPM1/PTPN11/SIRT1/TP53",9
"GO:0071479","GO:0071479","cellular response to ionizing radiation","7/36","75/18903",8.84643872956817e-11,1.05904509362545e-08,4.06182349688444e-09,"ATM/BARD1/BCL2L1/MDM2/SIRT1/TP53/WRN",7
"GO:1900034","GO:1900034","regulation of cellular response to heat","5/36","17/18903",1.14159106785346e-10,1.304527247538e-08,5.0033369289654e-09,"ATM/CREBBP/EP300/GSK3B/SIRT1",5
"GO:0043467","GO:0043467","regulation of generation of precursor metabolites and energy","8/36","134/18903",1.32236873513752e-10,1.44540652179814e-08,5.54366023517607e-09,"AKT1/EP300/GSK3B/IFNG/IL10RB/IRS1/STAT3/TP53",8
"GO:0048511","GO:0048511","rhythmic process","10/36","302/18903",1.64405040524709e-10,1.72214279949633e-08,6.6050446105541e-09,"CREBBP/EP300/GSK3B/KAT5/NOS3/PTEN/SIRT1/SP1/STAT5B/TP53",10
"GO:0010212","GO:0010212","response to ionizing radiation","8/36","143/18903",2.22821128083028e-10,2.24068926400293e-08,8.59385908732859e-09,"ATM/BARD1/BCL2L1/KAT5/MDM2/SIRT1/TP53/WRN",8
"GO:0046427","GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT","6/36","45/18903",2.37606470263968e-10,2.29747179324468e-08,8.81164075958684e-09,"IL10/IL10RA/IL10RB/IL23R/JAK2/SOCS1",6
"GO:0006913","GO:0006913","nucleocytoplasmic transport","10/36","329/18903",3.78769543429182e-10,3.4008094006463e-08,1.3043342172223e-08,"AKT1/BARD1/GSK3B/HSP90AA1/IFNG/JAK2/NPM1/PTPN11/STAT3/TP53",10
"GO:0051169","GO:0051169","nuclear transport","10/36","329/18903",3.78769543429182e-10,3.4008094006463e-08,1.3043342172223e-08,"AKT1/BARD1/GSK3B/HSP90AA1/IFNG/JAK2/NPM1/PTPN11/STAT3/TP53",10
"GO:1904894","GO:1904894","positive regulation of receptor signaling pathway via STAT","6/36","49/18903",4.05716327200243e-10,3.51714085028073e-08,1.34895156339536e-08,"IL10/IL10RA/IL10RB/IL23R/JAK2/SOCS1",6
"GO:0045785","GO:0045785","positive regulation of cell adhesion","11/36","484/18903",9.33308499980135e-10,7.82112522983353e-08,2.99968626660282e-08,"AKT1/ATM/GSK3B/IFNG/IL10/IL23R/JAK2/KAT5/PTPN11/SOCS1/STAT5B",11
"GO:0050863","GO:0050863","regulation of T cell activation","10/36","376/18903",1.38029249092868e-09,1.07881380314315e-07,4.13764369500951e-08,"AKT1/IFNG/IL10/IL23R/JAK2/KAT5/PTEN/PTPN11/SOCS1/STAT5B",10
"GO:0032868","GO:0032868","response to insulin","9/36","269/18903",1.40893343173717e-09,1.07881380314315e-07,4.13764369500951e-08,"AKT1/GSK3B/IL10/IRS1/PTPN11/SIRT1/SOCS1/SOCS3/SP1",9
