"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","6/6","496/18903",3.16860125141108e-10,8.2383632536688e-08,3.0018327644947e-08,"IFNGR1/IFNGR2/IL10RA/IL10RB/IL23R/THPO",6
"GO:0097696","GO:0097696","receptor signaling pathway via STAT","4/6","183/18903",1.25595529801392e-07,1.63274188741809e-05,5.94926193796066e-06,"IL10RA/IL10RB/IL23R/THPO",4
"GO:0046427","GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT","3/6","45/18903",2.50880688209824e-07,2.11628907275644e-05,7.71117475903156e-06,"IL10RA/IL10RB/IL23R",3
"GO:1904894","GO:1904894","positive regulation of receptor signaling pathway via STAT","3/6","49/18903",3.25582934270222e-07,2.11628907275644e-05,7.71117475903156e-06,"IL10RA/IL10RB/IL23R",3
"GO:0009615","GO:0009615","response to virus","4/6","409/18903",3.13036703382518e-06,0.000138537827367439,5.0479370295828e-05,"IFNGR1/IFNGR2/IL10RB/IL23R",4
"GO:0046425","GO:0046425","regulation of receptor signaling pathway via JAK-STAT","3/6","104/18903",3.19702678540244e-06,0.000138537827367439,5.0479370295828e-05,"IL10RA/IL10RB/IL23R",3
"GO:1904892","GO:1904892","regulation of receptor signaling pathway via STAT","3/6","115/18903",4.32898261944787e-06,0.000144409859121888,5.26189770079753e-05,"IL10RA/IL10RB/IL23R",3
"GO:0098586","GO:0098586","cellular response to virus","3/6","116/18903",4.44338028067347e-06,0.000144409859121888,5.26189770079753e-05,"IFNGR1/IFNGR2/IL10RB",3
"GO:0034341","GO:0034341","response to interferon-gamma","3/6","140/18903",7.82399345191047e-06,0.000226026477499636,8.23578258095839e-05,"IFNGR1/IFNGR2/IL23R",3
"GO:0007259","GO:0007259","receptor signaling pathway via JAK-STAT","3/6","172/18903",1.45116490718093e-05,0.000377302875867041,0.000137478780680298,"IL10RA/IL10RB/IL23R",3
"GO:0060333","GO:0060333","interferon-gamma-mediated signaling pathway","2/6","26/18903",2.71953778372441e-05,0.000642799839789406,0.000234218565105452,"IFNGR1/IFNGR2",2
"GO:0051607","GO:0051607","defense response to virus","3/6","304/18903",7.94668522016734e-05,0.0016049320800106,0.000584793065590909,"IFNGR2/IL10RB/IL23R",3
"GO:0140546","GO:0140546","defense response to symbiont","3/6","305/18903",8.02466040005302e-05,0.0016049320800106,0.000584793065590909,"IFNGR2/IL10RB/IL23R",3
"GO:0001774","GO:0001774","microglial cell activation","2/6","47/18903",9.01881845389909e-05,0.00167492342715269,0.000610295985602194,"IFNGR1/IFNGR2",2
"GO:0002269","GO:0002269","leukocyte activation involved in inflammatory response","2/6","50/18903",0.000102158856164019,0.001770753506843,0.000645213828404331,"IFNGR1/IFNGR2",2
"GO:0032496","GO:0032496","response to lipopolysaccharide","3/6","339/18903",0.000109844805772874,0.0017849780938092,0.000650396876286754,"IL10RA/IL23R/THPO",3
