"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","14/18","496/18903",1.7015466510812e-19,2.54211069671531e-16,8.31071206422817e-17,"AKT1/EPOR/IFNG/JAK2/LEPR/MPL/PTPN11/SH2B3/STAT3/STAT5A/STAT5B/THPO/STAT4/SOCS1",14
"GO:0097696","GO:0097696","receptor signaling pathway via STAT","11/18","183/18903",1.55084855647431e-18,1.15848387168631e-15,3.78733542212673e-16,"IFNG/IL10/JAK2/SH2B3/STAT3/STAT5A/STAT5B/THPO/SOCS3/STAT4/SOCS1",11
"GO:0007259","GO:0007259","receptor signaling pathway via JAK-STAT","10/18","172/18903",1.22773936734133e-16,6.11414204935981e-14,1.99884584718027e-14,"IFNG/IL10/JAK2/SH2B3/STAT3/STAT5A/STAT5B/SOCS3/STAT4/SOCS1",10
"GO:0043434","GO:0043434","response to peptide hormone","11/18","421/18903",1.62554325070512e-14,6.07140404138363e-12,1.98487386401888e-12,"AKT1/IL10/IRS1/JAK2/PTPN11/STAT3/STAT5A/STAT5B/SOCS3/STAT4/SOCS1",11
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","9/18","306/18903",2.90479302001775e-12,8.67952154381303e-10,2.83752412902786e-10,"AKT1/IRS1/JAK2/PTPN11/STAT3/STAT5A/STAT5B/SOCS3/SOCS1",9
"GO:1901653","GO:1901653","cellular response to peptide","9/18","373/18903",1.7126851975088e-11,4.26458614179691e-09,1.39418584498962e-09,"AKT1/IRS1/JAK2/PTPN11/STAT3/STAT5A/STAT5B/SOCS3/SOCS1",9
"GO:0030099","GO:0030099","myeloid cell differentiation","9/18","407/18903",3.73046069046348e-11,7.96186895936063e-09,2.60290791033843e-09,"IFNG/JAK2/MPL/PTPN11/SH2B3/STAT3/STAT5B/THPO/SOCS1",9
"GO:0060397","GO:0060397","growth hormone receptor signaling pathway via JAK-STAT","4/18","10/18903",1.20398786866741e-10,2.24844734473639e-08,7.35066277712735e-09,"JAK2/STAT3/STAT5A/STAT5B",4
"GO:0060416","GO:0060416","response to growth hormone","5/18","37/18903",1.82409763365116e-10,3.02800207186093e-08,9.89919651478525e-09,"AKT1/JAK2/STAT3/STAT5A/STAT5B",5
"GO:0046425","GO:0046425","regulation of receptor signaling pathway via JAK-STAT","6/18","104/18903",4.21742577361223e-10,6.30083410577667e-08,2.05987953574323e-08,"IFNG/IL10/JAK2/SH2B3/SOCS3/SOCS1",6
