"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034975","GO:0034975","protein folding in endoplasmic reticulum","4/4","11/18903",6.20497594422145e-14,1.20376533317896e-11,3.13514574023821e-12,"CALR/HSP90B1/P4HB/PDIA3",4
"GO:0006457","GO:0006457","protein folding","4/4","223/18903",1.88576561499758e-08,1.82919264654765e-06,4.76403944841493e-07,"CALR/HSP90B1/P4HB/PDIA3",4
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","4/4","261/18903",3.55261582407675e-08,2.29735823290297e-06,5.98335296686611e-07,"CALR/HSP90B1/P4HB/PDIA3",4
"GO:0098760","GO:0098760","response to interleukin-7","2/4","14/18903",3.05363013311219e-06,0.000118480849164753,3.08577360819759e-05,"P4HB/PDIA3",2
"GO:0098761","GO:0098761","cellular response to interleukin-7","2/4","14/18903",3.05363013311219e-06,0.000118480849164753,3.08577360819759e-05,"P4HB/PDIA3",2
"GO:0002396","GO:0002396","MHC protein complex assembly","2/4","20/18903",6.37301196420006e-06,0.000176623474436402,4.60006878618952e-05,"CALR/PDIA3",2
"GO:0002501","GO:0002501","peptide antigen assembly with MHC protein complex","2/4","20/18903",6.37301196420006e-06,0.000176623474436402,4.60006878618952e-05,"CALR/PDIA3",2
"GO:0002474","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","2/4","30/18903",1.45805464819375e-05,0.000353578252186985,9.20876619911845e-05,"CALR/PDIA3",2
"GO:1900026","GO:1900026","positive regulation of substrate adhesion-dependent cell spreading","2/4","44/18903",3.16771644207005e-05,0.000682818877512877,0.000177836712537266,"CALR/P4HB",2
"GO:1900024","GO:1900024","regulation of substrate adhesion-dependent cell spreading","2/4","61/18903",6.12046768923638e-05,0.00118737073171186,0.000309244683245628,"CALR/P4HB",2
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","2/4","64/18903",6.74111854774892e-05,0.00118888818023935,0.000309639895016218,"CALR/PDIA3",2
"GO:0010770","GO:0010770","positive regulation of cell morphogenesis involved in differentiation","2/4","82/18903",0.000110906662171924,0.00179299103844611,0.000466975419671261,"CALR/P4HB",2
"GO:0030433","GO:0030433","ubiquitin-dependent ERAD pathway","2/4","87/18903",0.000124888627136011,0.00186372258956816,0.000485397093322148,"CALR/HSP90B1",2
"GO:0010769","GO:0010769","regulation of cell morphogenesis involved in differentiation","2/4","100/18903",0.000165097681105463,0.00228778215246141,0.000595841255117459,"CALR/P4HB",2
"GO:0019882","GO:0019882","antigen processing and presentation","2/4","108/18903",0.000192604948947138,0.00236390903805148,0.00061566811625866,"CALR/PDIA3",2
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","2/4","111/18903",0.000203462021872209,0.00236390903805148,0.00061566811625866,"CALR/P4HB",2
"GO:0036503","GO:0036503","ERAD pathway","2/4","112/18903",0.000207146668282862,0.00236390903805148,0.00061566811625866,"CALR/HSP90B1",2
"GO:0010811","GO:0010811","positive regulation of cell-substrate adhesion","2/4","125/18903",0.000258029244889898,0.00278098186159112,0.000724292617234802,"CALR/P4HB",2
