"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043491","GO:0043491","protein kinase B signaling","5/8","218/18903",1.06094756913295e-08,1.25828381699168e-05,3.23868205314269e-06,"AKT1/HSP90AA1/PHLPP1/PTEN/SLC9A3R1",5
"GO:2000060","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","4/8","110/18903",7.46326895025611e-08,3.84643308308375e-05,9.90028928813604e-06,"AKT1/GSK3B/MDM2/PTEN",4
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","5/8","374/18903",1.57433818726728e-07,3.84643308308375e-05,9.90028928813604e-06,"AKT1/GSK3B/MDM2/PTEN/SLC9A3R1",5
"GO:1903052","GO:1903052","positive regulation of proteolysis involved in protein catabolic process","4/8","136/18903",1.7547327946858e-07,3.84643308308375e-05,9.90028928813604e-06,"AKT1/GSK3B/MDM2/PTEN",4
"GO:0005979","GO:0005979","regulation of glycogen biosynthetic process","3/8","30/18903",2.00915918420316e-07,3.84643308308375e-05,9.90028928813604e-06,"AKT1/GSK3B/IRS1",3
"GO:0010962","GO:0010962","regulation of glucan biosynthetic process","3/8","30/18903",2.00915918420316e-07,3.84643308308375e-05,9.90028928813604e-06,"AKT1/GSK3B/IRS1",3
"GO:0014065","GO:0014065","phosphatidylinositol 3-kinase signaling","4/8","145/18903",2.27023875055533e-07,3.84643308308375e-05,9.90028928813604e-06,"AKT1/IRS1/PTEN/SLC9A3R1",4
"GO:0031331","GO:0031331","positive regulation of cellular catabolic process","5/8","429/18903",3.11396379007468e-07,4.61305828827381e-05,1.18734969699068e-05,"AKT1/GSK3B/IRS1/MDM2/PTEN",5
"GO:0070873","GO:0070873","regulation of glycogen metabolic process","3/8","36/18903",3.52914102068269e-07,4.61305828827381e-05,1.18734969699068e-05,"AKT1/GSK3B/IRS1",3
"GO:0032885","GO:0032885","regulation of polysaccharide biosynthetic process","3/8","38/18903",4.16806849955832e-07,4.61305828827381e-05,1.18734969699068e-05,"AKT1/GSK3B/IRS1",3
"GO:2000058","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","4/8","170/18903",4.29763010230936e-07,4.61305828827381e-05,1.18734969699068e-05,"AKT1/GSK3B/MDM2/PTEN",4
"GO:0048015","GO:0048015","phosphatidylinositol-mediated signaling","4/8","178/18903",5.16677554943727e-07,4.61305828827381e-05,1.18734969699068e-05,"AKT1/IRS1/PTEN/SLC9A3R1",4
"GO:0048017","GO:0048017","inositol lipid-mediated signaling","4/8","182/18903",5.64748416231866e-07,4.61305828827381e-05,1.18734969699068e-05,"AKT1/IRS1/PTEN/SLC9A3R1",4
