"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","7/8","173/18903",3.77953331067011e-14,4.22173870801851e-11,1.16966609824949e-11,"AKT1/DDX5/MDM2/KAT5/NPM1/EP300/TP53",7
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","6/8","105/18903",7.05327138495088e-13,3.93925206849507e-10,1.09140094061871e-10,"AKT1/DDX5/MDM2/NPM1/EP300/TP53",6
"GO:0009314","GO:0009314","response to radiation","7/8","452/18903",3.34586910513423e-11,1.24174000924751e-08,3.44033890325371e-09,"AKT1/CREBBP/MDM2/KAT5/NPM1/EP300/TP53",7
"GO:0030330","GO:0030330","DNA damage response, signal transduction by p53 class mediator","5/8","74/18903",4.44669654162044e-11,1.24174000924751e-08,3.44033890325371e-09,"DDX5/MDM2/KAT5/NPM1/TP53",5
"GO:0043516","GO:0043516","regulation of DNA damage response, signal transduction by p53 class mediator","4/8","38/18903",9.65977226210617e-10,2.15799312335452e-07,5.97889062117729e-08,"DDX5/MDM2/NPM1/TP53",4
"GO:0009411","GO:0009411","response to UV","5/8","149/18903",1.56297457400324e-09,2.90973766526936e-07,8.06165832906933e-08,"AKT1/CREBBP/NPM1/EP300/TP53",5
"GO:0042770","GO:0042770","signal transduction in response to DNA damage","5/8","181/18903",4.16689203364544e-09,6.64916914511708e-07,1.84220489908535e-07,"DDX5/MDM2/KAT5/NPM1/TP53",5
"GO:0071478","GO:0071478","cellular response to radiation","5/8","189/18903",5.17961758312662e-09,7.23204105044055e-07,2.00369417031477e-07,"CREBBP/MDM2/NPM1/EP300/TP53",5
"GO:0072332","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","4/8","81/18903",2.16141910524153e-08,2.6825612672831e-06,7.43224815135683e-07,"DDX5/MDM2/EP300/TP53",4
"GO:0034644","GO:0034644","cellular response to UV","4/8","89/18903",3.16768930836164e-08,3.53830895743995e-06,9.8031648069297e-07,"CREBBP/NPM1/EP300/TP53",4
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","5/8","298/18903",5.07294610273407e-08,5.047169369579e-06,1.39835819126064e-06,"AKT1/DDX5/MDM2/EP300/TP53",5
"GO:0048511","GO:0048511","rhythmic process","5/8","302/18903",5.4222052314188e-08,5.047169369579e-06,1.39835819126064e-06,"CREBBP/DDX5/KAT5/EP300/TP53",5
"GO:0036293","GO:0036293","response to decreased oxygen levels","5/8","309/18903",6.07932518086925e-08,5.09006076239318e-06,1.41024159086236e-06,"AKT1/CREBBP/MDM2/EP300/TP53",5
"GO:2001020","GO:2001020","regulation of response to DNA damage stimulus","5/8","312/18903",6.37966433961545e-08,5.09006076239318e-06,1.41024159086236e-06,"DDX5/MDM2/KAT5/NPM1/TP53",5
"GO:0009416","GO:0009416","response to light stimulus","5/8","321/18903",7.35224818436058e-08,5.4598432502964e-06,1.51269275369848e-06,"AKT1/CREBBP/NPM1/EP300/TP53",5
